Product,Review,Sentiment
Cheese,super taste,3
Cheese,Good,3
Cheese,Nice,3
Cheese,Good,4
Cheese,Very tasty.,4
Cheese,Delivered so fast.delivery boy is so humble.thank you so much flipkart,4
Rice,Delivery date was extended twice and took 2weeks to receive the item. As mentioned on top of the cover as long grains but in actual its normal n regular basmati. Was expecting extra large grains but disappointed.,2
Rice,Satisfied! The delivery system was very good:'),5
Rice,Rice is of poor quality. Break into small pieces while cooking and becomes like atta/flour,1
Rice,Very nice 👍,5
Rice,"trust me ..this is better than kohinoor .. I use it daily..its soft ,fluffy and long..best for biryani",5
Rice,"Perfect basmati  rice ,nice aroma",5
Rice,Very Good thanx ....,5
Rice,Best premium quality.,5
Rice,Gud in taste,4
Rice,Rice is of poor quality. Break into small pieces while cooking and becomes like atta/flour,1
Rice,Not good,1
Rice,Very bad 😡🤬,1
Rice,Not good,1
Rice,Very very bad product rice,1
Rice,Unhealty and useless,1
Rice,First time when I bought it was good. But now is very bad,1
Rice,Delivery date was extended twice and took 2weeks to receive the item. As mentioned on top of the cover as long grains but in actual its normal n regular basmati. Was expecting extra large grains but disappointed.,2
Rice,No price taq small rice,2
Freshvegetables,The size of the coconut was size of one large egg. Very disappointed and disatisfied.,1
Freshvegetables,Size is small,5
Freshvegetables,Very nice but to small in size,2
Freshvegetables,Tasty and delicious,4
Freshvegetables,Potato white no 1 kg Coconut very small bad quality coconut,1
Freshvegetables,Very small and high price.money wast,1
Freshvegetables,Purchased for cooking. 2. It's inside like pulpy coconut water. And return period only for two days. Simple logic no one use all coconut same day. Very poor,1
Freshvegetables,Very small in size,1
Freshvegetables,Good,5
Freshvegetables,The size of the coconut was size of one large egg. Very disappointed and disatisfied.,1
Freshvegetables,Potato white no 1 kg Coconut very small bad quality coconut,1
Freshvegetables,Very small and high price.money wast,1
Freshvegetables,Purchased for cooking. 2. It's inside like pulpy coconut water. And return period only for two days. Simple logic no one use all coconut same day. Very poor,1
Freshvegetables,Very small in size,1
Freshvegetables,Coconut was bad inside .,1
Freshvegetables,Very bad vegetables and delivery boy very rude,1
Freshvegetables,It was a spoiler one,1
Freshvegetables,bad product,1
Cereal,it's amazing product.,5
Cereal,You can must buy and packaging  date is 22 Aug 2021,5
Cereal,It's good in taste . Delivered so fast. I like it's because it's light breakfast for every morning. Thankx flipkart,5
Cereal,Tasty and very healthy breakfast😋😋😋😋👌👌👌👌,4
Cereal,Good product,5
Cereal,Good for health. Nice in taste.,4
Cereal,Good and genuine,4
Cereal,Very good,5
Cereal,Good product ... Delivery on time......go for it👍,4
Cereal,This is the worst oats I ever tried.Not even think of buying this again.,1
Cereal,No karara Crunch. The added tablet shape like material is rubbery.,1
Cereal,Absolutely disgusting stuff to eat,1
Cereal,"This is very bed product and misuse mony, so donot best your money",1
Cereal,Very bad,1
Cereal,Very bad,1
Cereal,Bad,1
Cereal,Old packing,1
Cereal,Bad taste,1
Snacks,Taste was awesome 👍,5
Snacks,It's amazing dry fruits... Thanks flipkart,4
Snacks,"Like the flavour, Packaging was Good.",5
Snacks,"Best in quality, super in taste.",5
Snacks,I just love its flavour and it is so crunchyBest evening snackTotally value for money,5
Softdrinks,The 🍷 was nice But delivery late,5
Softdrinks,Great product,5
Softdrinks,Very good product,5
Softdrinks,Super,4
Softdrinks,I like 🤙,5
Softdrinks,Super packing and good taste,5
Water,I am very satisfied with this product. It helps me make alkaline water at home which keeps me refreshed and hydrated all day with essential minerals. I am satisfied,5
Water,It has no taste nor colour but in my area water is not that much pure and we are using RO water so I am using this It was good RO water PH booster drop.My whole family using this alkaline water or alkaline mineral drops,5
Water,Got this at a great price. It is perfectly great for reducing the acidity from the body.,5
Water,Awesome it is very useful to acidity,5
Water,This alkaline water is a really good product for the Body. It detoxifies the body.,5
Water,Improved my digestion and gut health. I love this product. It is really very useful.,5
Water,I have been using this product since a month. no seen any side effects. i am happy with this product.,5
Water,Very good quality Alkaline drops and importantly for traveling,5
Water,One of my friends told me the benefits of alkaline water and why we should drink alkaline water.,5
Water,Not yet tested on litmus paper - but somehow feels good after using it.That's why just 4 starts for now.,4
Water,I am very satisfied with this product. It helps me make alkaline water at home which keeps me refreshed and hydrated all day with essential minerals. I am satisfied,5
Water,It has no taste nor colour but in my area water is not that much pure and we are using RO water so I am using this It was good RO water PH booster drop.My whole family using this alkaline water or alkaline mineral drops,5
Water,Got this at a great price. It is perfectly great for reducing the acidity from the body.,5
Water,Awesome it is very useful to acidity,5
Water,This alkaline water is a really good product for the Body. It detoxifies the body.,5
Water,Improved my digestion and gut health. I love this product. It is really very useful.,5
Water,I have been using this product since a month. no seen any side effects. i am happy with this product.,5
Water,Very good quality Alkaline drops and importantly for traveling,5
Coffee,Very good product. I love it. The taste is awesome. Thank u flip card. The delivery boy's behaviour is too GOOD.,5
Coffee,awesome coffee..,5
Coffee,As good As price,4
Coffee,Superb coffee,5
Coffee,product is damage this time,1
Coffee,Good. Got earlier than delivery date.,5
Coffee,super,5
Coffee,Nescafe is love..!!,5
Coffee,"Same quality, just like Rs 2/- pouch .So it's expenssive vs pouch",1
Coffee,product is damage this time,1
Coffee,"Same quality, just like Rs 2/- pouch .So it's expenssive vs pouch",1
Coffee,Don't buy this. Add some more money and buy 100% coffee. You will waste your money.,1
Coffee,Taste is not good as like as nescafe classic coffee. Dont buy it,1
Coffee,Test is very bad 😞,1
Coffee,Don't buy !,1
Coffee,200 quantity not good I have already Nescafe sunrice instant coffee 200 jar and put coffee and show quantity very bad,1
Coffee,Nescafe classic is better than it.....,1
Coffee,Dont biy it it is small,1
Tea,Excellent,3
Tea,Very low quality taste,1
Tea,Worth of money 💰,5
Tea,superb,3
Tea,Good 👍👍👍👍👍 Thenks Flipkart,4
Tea,Beast,3
Tea,Very good,5
Tea,Very  good  product keep it up!!,4
Tea,Wagbakri is my fav tea...like it as ever,5
Tea,Very low quality taste,1
Tea,Bogas Item,1
Tea,OK,1
Tea,Bought first time and really disappointed with tea. Taste is not good.,2
Tea,Product not airtight so some moisture inside,2
Tea,2 packets were damaged . had cuts and contents spilling,2
Tea,Excellent,3
Tea,superb,3
Tea,Beast,3
Salt,"It is very healthy in comparison to normal white salt and rich in minerals like calcium, magnesium and iron",5
Salt,Best himalayan pink salt good in taste and good for health also.,5
Salt,Very nice product,5
Salt,"This pink salt is great in taste and is rich in minerals. Its unprocessed, hand-washed and sun dried. Its a must try!",5
Salt,Like the product. Good for health.,5
Salt,"It is very healthy in comparison to normal white salt and rich in minerals like calcium, magnesium and iron",5
Salt,Best himalayan pink salt good in taste and good for health also.,5
Salt,Very nice product,5
Salt,"This pink salt is great in taste and is rich in minerals. Its unprocessed, hand-washed and sun dried. Its a must try!",5
Salt,Like the product. Good for health.,5
Cleaningsupplies,Too much  off cost,1
Cleaningsupplies,Very costly product,1
Cleaningsupplies,The scrubber quality is very poor as per brand I really disappointed,2
Cleaningsupplies,Worked as it said,5
Cleaningsupplies,ok,3
Cleaningsupplies,Useful product and also a good quality,5
Cleaningsupplies,God will punish you guys who are cheating their customers. Very cheap product.,1
Cleaningsupplies,Good,4
Cleaningsupplies,Good,5
Cleaningsupplies,Too much  off cost,1
Cleaningsupplies,Very costly product,1
Cleaningsupplies,God will punish you guys who are cheating their customers. Very cheap product.,1
Cleaningsupplies,Very bad product,1
Cleaningsupplies,Tooo much off cost,1
Cleaningsupplies,Bad quality,1
Cleaningsupplies,"Not worth at all, waste of money",1
Cleaningsupplies,The scrubber quality is very poor as per brand I really disappointed,2
Cleaningsupplies,ok,3
Toiletpaper,Good,3
Toiletpaper,The product was gud but package is very poor,2
Toiletpaper,Very good product,5
Toiletpaper,Dont buy waste of money quality very bad. You will find betel quality in low price in store,1
Toiletpaper,Good to use..,4
Toiletpaper,Good,3
Toiletpaper,Good,3
Toiletpaper,The tissue was not packed worst quality ever don't buy this product waste of money,1
Toiletpaper,Not good,1
Toiletpaper,Dont buy waste of money quality very bad. You will find betel quality in low price in store,1
Toiletpaper,Very bad quality and thin n loose paper,1
Toiletpaper,The tissue was not packed worst quality ever don't buy this product waste of money,1
Toiletpaper,Not good,1
Toiletpaper,Very very small,1
Toiletpaper,very poor quality hate it,1
Toiletpaper,Poor quality with more pri,1
Toiletpaper,Bad product,1
Toiletpaper,Bad quality,1
Papertowels,Nice product it should be in every kitchen,5
Papertowels,Good product,5
Papertowels,Don't buy this product worst experience for me,1
Papertowels,Very nice product,5
Papertowels,Good,5
Papertowels,"Size is too small , it's not even one lady's hand kerchief.",1
Papertowels,Very poor quality. No proper packing of the product.,1
Papertowels,good,5
Papertowels,It's not good .It's not cotton .It doesn't absorb water .so don't buy. Don't waste your money.,2
Batteries,Very nice product,5
Batteries,Good,5
Batteries,Thanks u,5
Batteries,Nice Product Very Power Full Battery,5
Batteries,Product is not good,2
Batteries,Good,4
Batteries,It has no charge in this battery when it arrived,1
Batteries,Allready battery was full  empty.,1
Batteries,The same is very bad no work is useless money spending Equal is very bad no work is useless money spending flipkart It's useless to order the same from the same gives the same as the worst.,2
Batteries,It has no charge in this battery when it arrived,1
Batteries,Allready battery was full  empty.,1
Batteries,Don't buy this product,1
Batteries,product was not shield,1
Batteries,Very cheap battery,1
Batteries,Worst..  not a single battery is charged. Max voltage is 2.3V,1
Batteries,Worst battery one battery deadOne battery low voltage,1
Batteries,Ok ok,1
Batteries,Not working ☹️,1
Lightbulbs,"Product is very good ,I like it,. Delivery boy is very good , and sweet just like my son,",5
Lightbulbs,It's a very nice product u guys should take it,5
Lightbulbs,Excellent product. Must buy. Good. My child enjoying nd happy to see the disco light.,5
Lightbulbs,Awesome👍 go for it,5
Lightbulbs,Superb product. I love these lights ❤️thank you Flipkart 💕🥰,5
Lightbulbs,Nice,4
Lightbulbs,Thanks,4
Lightbulbs,Beautiful light.,5
Lightbulbs,Super you,5
Lightbulbs,Wrost product Waste of money 💰💰💰Don't buy this item,1
Lightbulbs,Thish product is very bad,1
Lightbulbs,Useless the rotable motor is not working waste of money.,1
Lightbulbs,It is not working while receiving the product,1
Lightbulbs,Bad,1
Lightbulbs,Qality and product down grade as per website view,1
Lightbulbs,Light no rottatiing please return,1
Lightbulbs,I don't like,1
Lightbulbs,This product bad very very bad,1
Petfood,Good for large breed dog and use it when you dog is  1 year old  and it's helpful for gaining weight .,5
Petfood,My dog loves this food soooo much. Its my 2nd review . In 1st purchase the package was cutting. I complained. In 2nd delivery i am very much happy .  Deliver my product very carefully.  Thnks to flipkart and super com net.  Again  thank u very much.,4
Petfood,My dog just loves it. He seems to be very happy and excited after see the flipkart delivery box. Worth for money.,5
Petfood,Got it before the date given AWESOME SERVICE Delivery man was very nice a polite Ekart should have employees like this man,5
Petfood,I'm so happy that I received it so early than the delivery date...thanqq so much flipcart... actually I'm taking this for street dogs nd cats...my street cats like this padigree a lot..once again thank you very much,5
Petfood,Superb great product.. Good for dogs😊 very good service...,5
Petfood,Product was good. But please don't send stuff  if the stuff is bitten by rats. That Pedigree bag was torned by rats.  My stuff was ok but atleast try to correct that other wise  u will lose customer. Thanks and all the best happy Diwali!,5
Petfood,"Got it on a big billion day sale for a good discount. There were a couple of holes on both sides, probably hooks used to load, nonetheless the inner packing was in place. All in all, super happy doing business with flipkart! Lots of love to all the personnel involved in giving customers the best experience!",5
Petfood,"I was feeling risky reading reviews like Rat eaten,damaged pack but still showed courage and had faith on flipkart , and no regret with quality, pack was decent, product is well and at proper condition.LOVE IT !!!!!!! Like my comment ,if u faced same and gives u courage",4
Petfood,very disappointed. the pedigree pack was opened and they had covered it with cellotape didn't expected this from flipkart. never gone order from flipkart. you'll say every product on flipkart is genuine but after receiving this order that myth has been busted. don't repeat this with any other customers.,1
Petfood,I ordered pedigree 1.2 kg but what I got is cat food.....and also no return policy ....what I do nowFlipkart u need to take action on seller.Please don't buy anything on this seller,1
Petfood,Extremely dissatisfied by flipkart as the product was already torn apart from backside and was taped all around to keep it intact. If there is no return or replacement policy on the product then you should make sure that the product you send doesn't have atleast this kind of defect.,1
Petfood,"As expected from flipkart,  my packet was opened and they used plastics to pack it so that no one can see the broken part of the packet. If you are ordering any dog food or non returnable item, i will suggest you to not use this flipkart to buy that item. No response when you call the helpline number. Totally wastage of money.",1
Petfood,it contained worm and other small insect it made my dog sick ..please try to give fresh goods dont cheat customers,1
Petfood,Dog not eating the product.,1
Petfood,My German shepherd is puking after having this,1
Petfood,My dog didn't like this food at all. This food is very hard ans having lot of holes as infected by some insects. Why we do not have any return policy,1
Petfood,Most of the dog not eat this food Don't buy this food I will not recommended to all of you,1
Laundrydetergent,Ok,5
Laundrydetergent,Ok,4
Laundrydetergent,Very thin liquid smell also not good,1
Laundrydetergent,Good product,5
Laundrydetergent,"Product is good, sent is nice. But price has gone up drastically.",4
Laundrydetergent,Very good,4
Laundrydetergent,Service is good delivery man is kindly,5
Laundrydetergent,Good,5
Laundrydetergent,Best,5
Laundrydetergent,Very thin liquid smell also not good,1
Laundrydetergent,Okkk no problem,1
Laundrydetergent,Looks like a diluted product. Not as good as the earlier ones,1
Laundrydetergent,Bad prouduct,2
Laundrydetergent,Washing quality good but it's smell causes sneezing,3
Laundrydetergent,Ok,3
Laundrydetergent,Not bad,3
Laundrydetergent,Excellent,3
Laundrydetergent,Nice,3
Dishwashingliquid,I rate this product  with 5 stars. Very good quality product at a very reasonable price.Public  should purchase this product  for its good quality and reasonable price.,5
Dishwashingliquid,Very good.,5
Dishwashingliquid,Nice product with out any damage. I liked the flipkart management system.,5
Dishwashingliquid,This product is very good,5
Dishwashingliquid,Worst product. Water content is more in this. Unable to clean dishes effectively. Poor quality. Poor product. Don't buy this product. You can buy vim liquid by spending some more..,1
Dishwashingliquid,The product is worst .does not clean the utensils.only water,1
Dishwashingliquid,Very good quality products for dish wash,5
Dishwashingliquid,This product is very use full.,5
Dishwashingliquid,"Good quality, and good product,vary nice, thanku Flipkart",5
Garbagebags,Plastic is very thin,1
Garbagebags,Nice,5
Garbagebags,Nice product,5
Garbagebags,Good Quality,5
Garbagebags,Very worst quality. Disappointed with the rating,1
Garbagebags,Very good  product,4
Garbagebags,Poor quality,2
Garbagebags,Good product,5
Garbagebags,Very thin,2
Garbagebags,Plastic is very thin,1
Garbagebags,Very worst quality. Disappointed with the rating,1
Garbagebags,Very thin.wwaste of money,1
Garbagebags,Very thin polythene dont buy waste he,1
Garbagebags,Bad quality,1
Garbagebags,Not good,1
Garbagebags,very small size but not bad.,1
Garbagebags,Very low quality.,1
Garbagebags,Don't buy it very poor quality very thin polithin,1
Kitchenutensils,Such a good quality with affordable price.Truly truly worth buying. Just loved it..Must recommended.,5
Kitchenutensils,,5
Kitchenutensils,,5
Kitchenutensils,Good quality and worth of money thankyou flipkart,5
Kitchenutensils,Good,5
Kitchenutensils,Only 2 set is useful to me fry pan and mini sauce pan is worth less,4
Kitchenutensils,Super thank you flipkart. strong stainless steel vessels 👌👌👌,4
Kitchenutensils,The quality of the steel is very worst.,2
Kitchenutensils,Nice 👍👍👍,5
Kitchenutensils,Very very poor quality and waste of money,1
Kitchenutensils,"Product quality is very worst, don't buy this",1
Kitchenutensils,Size prblm,1
Kitchenutensils,Weight less product kadai and pan very very small thin stainless steel,1
Kitchenutensils,It was too small,1
Kitchenutensils,The worst products do not buy,1
Kitchenutensils,Small size essentials,1
Kitchenutensils,The quality of the steel is very worst.,2
Kitchenutensils,Bottom low thickness,2
Cookware,Superb Product Genuine Quality5 Litre Cooker is pretty heavy than it looks.2 litre & 3 Litre Cookers share the same Cooker Lid.Please buy it without hesitation based on my experience.,5
Cookware,It is a really good cooker at such a price...with modern technology...Its handy too and safe,5
Cookware,good price and quality was good awesome like it,4
Cookware,best pressure cooker for this Price. and very good packing and good quality product. and very Shiny texture,5
Cookware,very good product. very usefull in combo offer. but 2 liter cooker is very small. but very nice too 3 liter & 5 liter.... thank you,5
Cookware,It's awsome quality and super product. If we compare with quality Price is very very low for this item...😘😘😘 I love this product...,5
Cookware,nice quality.. like very much bt the 2lit 3lit hav common led or cover..if company make separate led it wil good,4
Cookware,"I was ordered this cooker for my mom with Rs.750/- during big billion days & the design, built quality & performance is excellent.Butterfly is just like MI phones means cheaper in price & excellent in performance.Hope Butterfly continue making their products as such.",5
Cookware,The products are good and worth for the money..bought in combo offer at Rs 1399...The material also worth for the money..,4
Cookware,Defective product . cooker handle found broken. Totally unsatisfied.,1
Cookware,Poor quality water leak in all side in First cooking,1
Cookware,"Not satisfied. No quality. If we cook rice, the colour of rice is changing. And not in other cookers. We are not using the said cooker, total disappointment for me. Not expected from Flipkart this type of cheap quality....",1
Cookware,"Very very disappointed with the product... Look wise its nice, but after my 1st use itself it is not working properly no isi mark, no warrenty card inside the pack ...  on 2nd time use,by god grase i was escaped from the danger because of this cooker otherwise i would hurt,that cooker was opened in middle while cooking with very  big sound.... Not at all Happy. Waste of money",1
Cookware,It was a horrible experience and please don't buy this. Thank you.,1
Cookware,i have got a broken whistle,1
Cookware,"Litewaight, low quality",1
Cookware,support handle not recived with cooker,1
Cookware,Bad quality handle plastic are so thin....in 3 days thr buzzer of cooker are out from top lid,1
Bathroomessentials,The best purchase for my washbasin easy to store little things looking beautiful too,5
Bathroomessentials,Very very good product,5
Bathroomessentials,Nice,5
Bathroomessentials,Nice cabinet on a budget. Please go for it,5
Bathroomessentials,Very nice product,5
Bathroomessentials,So better,5
Bathroomessentials,Good product,4
Bathroomessentials,"Nice, but now price extra",5
Bathroomessentials,Nice,5
Electronics,"Let me clear one thing is the quality of the product is good but according to the price the battery is Very less . If you fully charged it then it will run hardly for 20-25 mins  & it's blade is also not very smooth, might have harm  your skin this is my pets experience. If anyone is reading my review my suggestion for you would be, you might find better option than this..... According to the performance the price is very high",2
Electronics,"The Design to handle is very good and light in weight. 3 types of adjustable blades will be given of 1mm, 5mm & 7mm. 3mm size is missing. 3mm could be given for better shave and shape. USB Cable charging is good to carry anywhere to use. Fast delivery by flipkart. Philips brand package was awkward. They dint made branding at outside.",5
Electronics,I always trust Philips brand when it comes to electronic items. This is one of the best trimmer in this price range and worth every penny! It is portable and easy to use with washable head. It comes with a USB cable for charging. It is a must have product on the go! I am satisfied using this trimmer and surely recommend this to all men out there!,5
Electronics,It is very brilliant trimmer. Its battery backup is also very good as mention above. It is very easy to use and give a very clean shave. Its a very stylish product and look too good. I am loving this product and i also tell my friends about this product.,5
Electronics,"After reading a lot of positive reviews I decided to buy Philips BT 1232/15 trimmer. I got this trimmer with a good packing from Flipkart . after getting trimmer I thought , my decision was not wrong such a good smooth trimmer I got from Flipkart . Thanks Flipkart !",5
Electronics,This is one of the best trimmer in this price range. Its battery backup is also very good. It is portable and easy to use. Value for money. I am loving this product.,5
Electronics,"This was my first purchase in Philips trimmer but normal trimmer will good compare to Philips, totally fail product not happy while trimming getting cuts on skin and even not getting proper clean even normal trimmers are best compare to this.",2
Electronics,Good trimmer quality good also but battery backup not good . thank you Flipkart and seller.,4
Electronics,Worth the money. The trimmer just works perfectly and it kinda looks cool too.,5
Electronics,Running time 25 minute 30 minute charging time 8 ghanta,1
Electronics,Batter back up only 15min,1
Electronics,Don't buy this product charging complaint is their only it's durability 4 to 6 mins it's not enough to trim our beard so don't buy this they said it will work up-to 30 mins but no plz don't buy,1
Electronics,Battery won't last even 5 min,1
Electronics,Battery backup is very bad,1
Electronics,Not good,1
Electronics,Its tooo bad,1
Electronics,Quality not best,1
Electronics,It's cutting skin 😡,1
Accessories,"The Fod Lights are really nice and I liked it.The reason for not giving 5 Stars is that it was mention for Universal 2 wheelers for my scooty the button was not useful.This product is primarily for bikes, for mopads; scooty switch needs to be bought separate. Apart from all are good as of now. View the images of darkest road.",3
Accessories,good,5
Accessories,Worth it,5
Accessories,light LM levels super,4
Accessories,Amazing thanks flipkart,4
Accessories,Good product,5
Accessories,Bad light ....2  days,1
Accessories,Supernbbb........light not not a  flipkart brand,5
Accessories,Nice,5
Books,I think this type of previous year qsns are very useful for preparation. This book is good in every manner. Good binding as well. Go for it and i promise you will not regret.,5
Books,Amazing updated content upto August 2022 exams,5
Books,Best Book for All SSC Exams. All TCS questions of previous  3years  ssc exams are given with detailed solutions.,5
Books,Must buy friends 😍Very helpful book for SSC and all other exams,5
Books,Good book for ssc previous year.,5
Books,Brilliant book for  gs 📖,5
Books,This is the best gs book thankuuuuuuu filipkart 😘😘🙏🙏🙏🙏🙏🙏🙏🔥📖📙📖📙,5
Books,Book is fantastic,4
Books,Not sufficient for good marks...should have more questions..,3
Magazines,nice  book.,5
Magazines,Good,3
Magazines,😍😍best book thankful to flipkart,5
Toys,A very nice product for the kids. I purchased it for my son and he enjoys it very muchAll over a good loving toyI Recommended,5
Toys,It is very intresting...bcz it is very kids Freindly.. and very enjoyable for kids.My daughter liked alot. This looks very cute during dancing and mimicking.. so truly awesome.,5
Toys,Superb toys very funny best for kids age b/w 1-5. I have gifted this to my niece she loves to play with this toy. Amazing product worth buying.,5
Toys,We have enjoying the toy very much. It is fun and interactive for kids as much as it for toddlers. Good quality,5
Toys,"So cute looking cactus with Big eyes and doing so many things like .. Dancing , singing, Mimicking etc..My 1 year son is really very excited...firstly he was very surprised..but after 1-2 days he started enjoying and started dancing with this cute looking cactus 🌵.",5
Toys,A product worth recommending is very interesting. It can play a lot of different songs. There is also a recording function. Children like it very much. I bought it as a gift for my friend’s daughter. My friend’s daughter likes it very much and holds it every day.,5
Toys,This cactus 🌵 toy Is very interesting and capable to attract kids.Bought for my 2year old son.. and he is enjoy lot while playing with it. Very nice in Quality and very affordable in price. Good to go.,5
Toys,Super product and my kid was so happy.,5
Toys,I just love it tnq u Flipkart Very good product ☺️,5
Toys,Very bad product within 2 weeks its not working,1
Toys,Very bad product very very bad,1
Toys,Product not working properly waste of money,1
Toys,Bad quality after 1 days use products are not working,1
Toys,Speaking is not good.,1
Toys,Worst quality of the product.... The voice quality is very poor and dancing of cactus works for 10 days only after that it will stop dancing.,1
Toys,Don't buy,1
Toys,Third class material,1
Toys,Very bad product  money weast product,1
Gifts,Really Soft and Smooth Teddy my Daughters love it don't worry about size it is 3.5ft after seeing the doll u love it.,5
Gifts,My son very happy to get it n very soft nice bt 1 star is not given bcz of its tear two space,4
Gifts,So nice my partner fav colour and she loved it 😍,5
Gifts,I love ❤this Teddy bear,5
Gifts,Awsome product..... I gave my gf.... N she is vry vry happy..... :),5
Gifts,Amazing product,5
Gifts,Nice product. Go for it.,5
Gifts,My both sisters liked it With baby pink colour it looks cute,5
Gifts,Love this product,5
Gifts,Less than 3 feet,1
Gifts,not a 4 fet the teddy,1
Gifts,Very smole doll,1
Gifts,Stitching is  very poor,1
Gifts,Not satisfied with the product,1
Gifts,Very cheep quality fabric also size is nit that big ..... Biggest disappointment is it has not strong back so it can't sit without the help of wall or any other support,1
Gifts,It is not 4 feet at all 😡😡 don’t fool buyers..!!,1
Gifts,I am ordered a 4 feet teddy but it's only 3 feet . I'm totally shocked. My suggestion is it is much money for a 3 feet teddy . Please check and then purchase......,1
Gifts,Bed qualitySize 3 ft only,1
Homedecor,"The Adiyogi decorative is great product in quality and alsi in size. The product is really strong with good quality and great design. You can keep it your cars, room, showcase etc",5
Homedecor,"In Sanskrit, ‘adi’ = from the earliest times.‘Anth’ = end, antim = ending.Adi-Yogi = an ancient Yogi.🌐🚩🚩🕉️🕉️best idol for at my house. I like this much. Perfect shape. Cresent set on top.🌼🌼🌸🌸",5
Homedecor,Nyc product finishing is good. Looks attractive. I like this sculpture and i recommend my friend also to buy this. Really amazing product. Lord shiva,5
Homedecor,Product have a nice finishing according to the price.This was very light weight colour was very nice also the shape is perfection of the art.,5
Homedecor,This is just amazing. I always wanted this type of sculpture. The quality is amazing and it feels like I am seeing the real Adiyogi. Superb quality and affordable price.,5
Homedecor,It's a beautiful showpiece. The quality is good and the finishing is also nice. Gifted this to my mother and she is very happy with this one.,5
Homedecor,"I recieved it with a nice and safe packaging, quality of detail is superb very very genuine product in terms of detail and quality :)",5
Homedecor,"Really nice, did not expect this quality at this cost and even the design is awesomeThanks for this tiny lovely Shiva.",5
Homedecor,"I bought this Lord shiva showpiece for my room best for me, most prefered all time favorite.",5
Homedecor,Very very very bad finishing.. So bad 😞,1
Homedecor,The merchant has supplied much less measured idol than what is described in the flipcart site.   The weight is also not even half of what they have mentioned.   This way they are cheating the members.   Don't buy.,1
Homedecor,Qualify no so good,1
Homedecor,Qualities is not good,1
Homedecor,Texture is not good 👎,1
Homedecor,Bad Product,1
Homedecor,Small size,1
Homedecor,Very small,1
Homedecor,Plastic material... Light weight,1
Furniture,This is a amazing product ever seen. I got this product in 10 days and it was installed after 1 hour of delivery only. It has a excellent durability with no scratches on it. Design is of next level. It is best quality bed for 2 persons.I liked it from my heart. There is no comparision between branded companies bed like zuari and nilkamal and flipkart perfect homes bed. There rate of same branded beds were 15000 - 20000 whereas flipkart gave me this bed for ruppees 6490 only. This was my firs...,5
Furniture,"I dnt think about this product durability is strength full ,its looking good size was perfect for space savings but material dnt think so good",3
Furniture,Perfect for single person,5
Furniture,Stylish look,5
Furniture,Gorgeous bed.😍. i like it..❣️,5
Furniture,Nice product. Worth for buying,5
Furniture,Amazing product value for money,5
Furniture,Very bad metireals,1
Furniture,Its nice,5
Plants,It's tiny...... Merely 200.....250 mm height. And most important thing is that... Whether the plant is fruitful or not. Well it's time taken process. Let's hope 4 the best.,3
Plants,After five months it's now healthy and bearing fruit.I suggest you to buy your plant from a good seller.,4
Plants,"Your product i,e guava plant is not good, it is so thin like a hair and half dead.why you send bad product.? In future I shall never purchase from u and tell my fellow not to purchase from you. You have cheated with me by giving such worse plant.My money has lost.",1
