,ProfileName,Score,Text
531202,AShopper,1,"These apricots are of high quality, however they seem to be packaged too moist, and rapidly develop a white mold.  The spooky part is, the mold looks like sugar, and some folks, especially kids, might mistake it for a normal condition.  A couple of other things are odd:  There is no expiration date on the package, and each bag has a hole in the bottom, looking as if it has been punctured by a needle.  After a month or so in storage, all 8 of my remaining bags were in the same decomposing condition.<br />Please see attached pictures under product information, images section."
320966,L. Nelson,1,"These came with the plastic wrappers melted into the candy. It was impossible to get all of the wrapper off of the candy, so you end up eating plastic."
71112,Andres,1,"As a Puerto Rican, we demand the most from an espresso machine, my wife order the machine with great expectations, after we follow the instructions regarding on how to adjust the machine to get the best flavor, we found that the machine fell short, big one."
166719,seeshaw,1,"I received this lovely presentation which was full of stuff.  However, the edible goodies were horrible and the other stuff was really below even average.  The basket itself was nice. Not worth the money. Send your mom a gift card instead."
200355,"Rosey ""Rosey""",1,This coffee is extremely weak and the added flavoring for the Creme Brulee is weak also.  Not worth trying.
15554,susan m. kaitz,1,I received all containers previously opened - all seals were opened. On the top of containers was decent pieces of liver and below that were grisley pieces and a lot of powder on the bottom. I will never buy liver treats from Amazon again. BIG RIP-OFF!
90158,Jacqueline,1,"Even my kids would not drink this!! This was awful, smells like a locker room and tasted like salt.. YUCK!!!!!"
146020,julz,1,I wish I would have read the return policy before I bought the beans. NO RETURNS & the coffee was terrible. The beans looked old and dried out. Coffee was weak & not very rich in flavor. I read other reviews and it sounded great. I use a french press and used the same amount of coffee as I do with any other espresso that I buy and it is no where near the same. Tried adding more coffee and still was not good. now i have a couple pounds of beans.....guess I will donate them to the free store or to someone that is use to automatic drip
394980,"K. Mooney ""Take it Literally""",1,"I am beyond dissappointed!  After trying these in December, I decided to order a whole case!  It took over a month to get here...and now I know why.<br /><br />They taste like some VERY VERY watered down coffee - mixed with DISHWATER.  Yes, I would have to say that these are now the WORST coffee candies I have ever had.  If you happen to have any made in 2006, you should savour them because that's the end of them.<br /><br />I just scraped off the new label so I can tell you the original ingredient list: Sugar, glucose, milk powder, coffee extract, coffee flavor, vegetable oil, salt, caramel.<br /><br />If your first ingredient is Glucose Syrup (tapioca)...then put them right back where you found them.  You will be wasting your money & insulting your tastebuds."
530114,Linda B Kivitz,1,"I was very disappointed in these peanuts.  It almost looks like these were factory seconds where almost every bag had a peanut smashed into the plastic seal.  In some cases this actually ruined the integrity of the packaging. We are planning on using these as wedding favors and aren't sure we can even use them given how disgusting a crushed, salty, soggy nut is when sandwiched in a plastic seal."
430094,S. Wyffels,1,"I ordered these products through prime, and they appeared to be packaged properly.<br /><br />Every single bag was damaged in the manufacturing process, and I was unable to use any of the products. It appears the products were not checked before sending, and there was a slit down the side of every single bag.  All 4 boxes appeared to come from the same production batch.  To top it off I cannot return the products.  So now I am out $19 dollars, and I cannot use BioBag's compost bin which I also bought.  Can't say everyone will get the same bags, but buyer beware.<br /><br />I have pictures, but I cannot upload them in this review."
386444,M. Goodman,1,"This coffee smells and tastes absolutely disgusting.  It smells like sugared rubbing alcohol.  It tastes like vomit.  I have never disliked a coffee flavor so much before, and I am at a complete loss when it comes to explaining how it got such favorable reviews.<br /><br />I bought the item elsewhere and  cannot comment on the seller."
514074,M.N.,1,"Ordered 3 boxes of hard-to-find One:One Melitta coffee pods, 18 pods in each box.  Expected what was shown in picture and product description.  I received the wrong size pods, different name and different package (container). Not what was ordered. Told them, but no response.  Not too happy about this. First disappointment of an order placed through Amazon."
108405,florance,1,"I tried them in three different ways.<br />Open it and eat it right away, rinse it, leave it in the water for a while then eat it, or after rinsing them, cook it.<br />No matter how, it still retains a preservative kind of taste and because I have a rather sensitive tongue. It stayed on for a day or two which bothered me a lot. So I still have the rest. Sitting there..."
245562,"E. Thomsen ""arvig""",1,"I bought this service with the hopes that Ms. Deen herself or at least one of her employees would come out to my house and offer the service indicated in the title, a ""Butt massage"". No, I don't expect anything erotic or anything like that before someone makes such an accusation, I simply put have a sore tush and from time to time need someone to massage it so it's not so tender and painful. Now, did I get said service! No! I instead got two 2.77 ounce shakers of spices. Well, I decided that maybe this isn't the butt of some joke and figured maybe the idea was to ""self serve"" if you will, to massage my own behind with the spices. I did this, and I developed a rash the next day! I will NOT order this product again.<br /><br />The spices would probably be okay on pork though. But I don't own any livestock to massage so for me that is moot.<br /><br />As an aside, this is a cut and paste of my review of a different size of Ms. Deen's butt massage service, thus the reference to two 2.77 ounce shakers.  Even so, given the only difference is the size of the jar my comments there should apply to here fine."
357367,"Summer ""Breeze""",1,"This product does not meet those amazon.com standards upon which I have developed a trust. It's a pity that my $25.49 has been wasted on an item I don't like and I can't return. I'm still questioning how I misread what little information is given.<br /><br />...........Product Features: Mini Candy Rocks made of candy. Soft chewy center with jelly beans like candy shell. Approximately 70 pcs per pound.<br /><br />Please notice that the Product Description block is blank. Hmmmm. Could the lack of a description be a deliberate mislead?<br /><br />The package arrived three days after my order was placed, and the only information on the plastic bag's little white paper sticker (1"" X 2 1/4"") is the bar code, and the words ""Candy Rocks - Pebbles 5LB Bag.""  On the bag's back side is a black, badly-faded ink stamp (this is a CLEAR plastic bag containing dark-mottled candy) that says ""Nutrition Fact."" However, whatever the rest of the ""message"" is illegible.<br /><br />Isn't there a federal law requiring a proper label showing ingredient listings and indicating a product is safe and wholesome? Yes, there is. ""The Food and Drug Administration (FDA) is responsible for assuring that foods sold in the United States are safe, wholesome and properly labeled. This applies to foods produced domestically, as well as foods from foreign countries. The Federal Food, Drug, and Cosmetic Act (FD&C Act) and the Fair Packaging and Labeling Act are the Federal laws governing food products under FDA's jurisdiction."" [...]<br /><br />Amazon.com needs more scrutiny with its associate vendors and clean up its act."
88124,TheOC,1,"I feel mislead by the name of this product as the ingredient list on the package lists pears first then peas and then broccoli. When I tasted it myself I realized why my daughter was enjoying it so much, it just tasted like sweet pears. If a product is going to claim to be healthy and organic it should know it's customers are not afraid to give their kids vegetables."
210438,"MER ""MER""",1,"I will never order this item from Amazon again!  The carton was delivered with no protective box or wrap around it.  The carton was mutilated and at least half of each bag of pretzels was smashed to crumbs.  Worst of all, this item can NOT be returned.<br />From now on, I'll buy my pretzels from Target.  They cost about 3 cents a bag more, you can buy fewer than 12 bags at a time and the pretzels come whole."
320648,Sunny SMOOTH,1,"Please be careful when choosing this food.<br /><br />My dog, a Lhasa Apso, pooped out blood with her stool when I gave her this food which was contaminated with Salmonella. We took her to the Vet and she became very lethargic for 2 weeks after the incident. The entire ordeal was a nightmare.<br /><br />I sent it my receipt with the production UPC code to the company for a refund over a month ago and have not received any acknowledgement from them.<br /><br />[...]<br /><br />PLEASE VISIT DIAMONDPETRECALL.COM FOR MORE INFORMATION AND UPDATES.<br /><br />05/04/12<br /><br />Diamond Pet Foods, manufacturer of Taste of the Wild Pet Food, has issued a voluntary recall of limited batches of their dry pet food formulas manufactured between December 9, 2011, and April 7, 2012 due to Salmonella concerns. Diamond Pet Foods apologizes for any potential issues this may have caused pet owners and their pets."
213272,"J. Taylor ""pleasantchick""",1,"I really liked how my hair looked at first when I tried this shampoo but by day 3 and 4 I started developing itchy bumps on my scalp. I also realized that this product was leaving a film on my hair. I had been using sulfate free shampoos for the last few years but I broke down and bought this because of all the great reviews. This shampoo is not for everyone. If you're at all sensitive to chemicals, stay away. I went back to an awesome shampoo that I stick with. Every time I try something new, nothing treats my hair and scalp the way Henna Hut shampoos do. I've tried them all and I like their Neem shampoo the best. I don't work for them. I'm just a customer who appreciates them more and more every time I try other products."
224232,Dr. D,1,"We had one of these cubes for 3 years for our English Springer Spaniel. He loved it. One day he got his canine tooth stuck in the round insert. He immediately began howling in pain.  He was howling so loudly while my husband and I safely detached it. I have never heard my dog cry this way before, or since then. We immediately threw away the cube.  By the way, the cube was not damaged when it caught his canine tooth.  It was a freak occurrence, but one we would never chance again.  We were lucky."
122688,Alexi Darling,1,"My little Lhasa loved these, but she threw up big balls of starch.  Apparently, this is such a common problem, Zuke's is soon taking this line off the market and releasing a new replacement product in the next few months.  Small dogs don't have the digestive track needed to process these.  They will be switching from the existing potato formula to a more digestible Tapioca line.<br /><br />I need to hand it to Zuke's though. I told them about the product, and they rushed to send me samples and refund my money."
505581,"sally forth ""rainyreads""",1,These rice cakes arrived  ( 6 boxes worth) with a short shelf life of just about a month.  Jan 2012!!!  Had I known this I would never have ordered them!  They are nearly stale and Amazon does not take back food items as a return.  I do not expect food bought on Amazon to be such that the  short shelf life will mean wasted money and food thrown away because of staleness.  Terrible practice.  No one to contact because of the no return policy on food.  If Amazon is going to deal with food items they should have the policy of fairness and send out only  foods with s reasonable shelf life.  120 rice cakes eaten within 1 month is a bit much in my opinion.  I have ordered and received these rice cakes earlier and they were fine.  Tasty and good shelf life.  It is frustrating not to be able to request a refund for this item.  I would not chance buying any of this product ever again unless I could be assured of  freshness and a decent shelf life.  Do not take a chance on this if you want fresh item  and are watching how you spend your money.
208218,srg,1,I opened my box hoping for a great snack-to-go and what a dissappointment! It tastes like the fat is rancid in these. I opened another box to see if maybe I got a bad box but they were just as awful. My dog won't even eat them.
222294,"Stephen ""radman2020""",1,"I am a Crystal Light peach tea fan so I was anxious to try this. My gold standard is Snapple diet peach.  Crystal light relatively closely approximates that.<br /><br />It seemed like Mio it would be convenient to use.<br /><br />First I had trouble with the packaging.  It was hard to appropriately tear the plastic cover off.  I also had trouble with the directions.  I am 49 and my near vision is going the way most people in their 40s goes... I can't read the directions without finding reading glasses.  Could the manufacturers possibly consider their over-40 customers valuable and print just a little bigger?!<br /><br />My first squirt of the liquid went past the glass.  Ok.  So that will only happen once but..  Although mixing crystal light powder doesn't bother me and I am sure this is a liquid version of something similar, squirting the brown liquid into the water was not appetizing.  I felt like it was a chemistry experiment.<br /><br />When I drank the tea, I continued to think of it as a chemical experiment.  It tasted ""chemically""  Again, just not appealing.  I admit I may have been influenced by the ""squirting in"" process.<br /><br />It is not something I will buy again.  I will stick to Crystal Light and Snapple."
378783,M. Jansen,1,"Title says it all folks, this is the worst guacamole mix I have ever run across. Waste of otherwise fantastic ripe avocados. Basically, each dip tastes like a 1000 rancid tacos from Taco Bell.<br /><br />Does not deserve one star. I really wonder what the taste engineers at Casa Fiesta were smoking when they created this mix."
16045,Sara,1,I recently started eating healthier and needed a low calorie chip to eat with lunches at work. I usually love anything ranch flavored and was excited to try the new Southwest Ranch cracker chips. Their flavor was actually TERRIBLE! I literally thought they tasted like poo. I could only force myself to eat two or three chips. I then had my friend taste them (hoping I could give away the box) and he hated them too. Now I have almost a whole box of these  that I will be throwing away. The texture wasn't very appealing either so I'm not sure if I will ever try another flavor.
134514,"Bruce L. Nelson ""'Alone Across Alaska' and '7...",1,"My dachshund recently needed to start taking pills three times a day. He figured out there were sometimes pills in hot dog pieces (something to try nonetheless) so he began carefully checking each piece and spitting out the pills. So I tried Pill Pockets. The first one worked, and that was the last time. He won't even taste them now. So for me, Pill Pockets were expensive and ineffective. I now cook him up some chicken hearts and conceal the pills inside every day as needed while he isn't looking, then trim them down to barely cover the pill. I get him excited by quickly feeding him the trimmings, followed up by the main piece with the pill inside. On occasion he still finds them, but he likes chicken so much that it works quite well, so far, anyway.<br /><br />Obviously Pill Pockets work very good for most people, but not for me and my dog."
197400,Cinthia Menutole,1,"This brand killed my 8 year old dog. he suffered a lot. The bag was contamined with Salmonella! DO NOT BUY THIS BRAND, AS THIS IS A DANGEROUS COMPANY!"
400889,"Jay ""jayshappyday""",1,Tried this product to help us deter skunks digging up the lawn for grubs.  It may have deterred the skunks for one(!) night but most likely they filled their belly somewhere else.  Havahart is being very generous in their marketing saying that it lasts up to 30 days.  Perhaps if the lawn was literally buried with this stuff.  Not worth the money.
518512,Tiny Evil,1,"After getting fed up with catching insects crawling in my room, I decided to give this product a try. The instructions are pretty simple and the product seemed promising. I placed a trap in every corner of every room and hoped it would take care of my insect problem. It has been a week since the traps were placed and nothing has been caught. The pests that it was supposed to trap are actually crawling over it, under it, beside it, anywhere except in it. Needless to say this has been a major disappointment."
440718,CheeryToes,1,"I've been making my own Chai with Lipton Chai Spice tea (so yummy)and a little honey and a splash or two of half and half. I don't keep milk in the house. Well, I thought I'd try the sugar free concentrate as a quicker way to fix the tea, bought some milk and BLECH...it was so sweet I had to dump it. And it was not spicy. I love the Lipton's it's rich and spicy and tastes like drinking Christmas...I want some right now! So, I cannot recommend this at all. If you want a very very mild flavored tea that's extremely sweet - this is your stuff - and I have some you can have! Come on by, it's yours! :D"
291145,"ScottMn ""Hunt-n-Fish""",1,"I bought a 24 can case of these and will never do it again. I should have heeded others reviews but I thought ""I'm not that finicky"". You don't have to be finicky to disapprove of these. (1) They've got a stringy thing hanging off of them. (2) They are small (3) If they haven't fallen apart by the time you open the can, they will by the time you get them to your mouth. Probably more wrong too but I'm trying to stomach my way through them by making stew. I have to put them in a strainer first to rinse off whatever crap that is on them, cook them in butter and lot's of salt & pepper before I put in milk. Then close my eyes & try to palate them. I would never feed them to a friend. I think Amazon would take them back but they have been so good about that on bad products I hate to ask them."
267855,Chris,1,"About 10% of these were lime flavored in spite of being red in color, indicating very poor quality control.  It's no wonder Life Savers are seldom found in stores anymore."
418716,rudy,1,This is one of the worst products I have ever tasted. Wish I could get my money back. Don't waste your money on this.
416379,Jos88,1,"My husband and i purchased this tea, he loves sangria and fruit teas but this just tastes terrible. Like moldy stale fruit in our opinion. A lot of money wasted on junk."
228491,Jordan,1,"The pop came very fast but I was extremely disappointed to find that this flavor was very odd and tasted nothing like raspberries. The pop was far too carbonated as well. This was far more carbonated than what we buy in the store. I would of asked for a full refund or exchange but decided against it as I do not believe it is covered under Amazon's policy. Not anything like the others we have tried (Almost all of them, and all at our local market). It makes me very skeptical about buying online when it is so different a product in store. Of course I purchased Raspberry online because it was unavailable in the store. It is also a shame to have 24 cans of an inferior product. Almost every can has been used up and it was really a chore as we normally drink 6 cans within 2 days and we've had these cans for about a month at least. Lastly, it wasn't just one can but every one in the package."
516715,Paul,1,"I ordered (8/24/12) the Ranch Dressing through Amazon.  I was so irritated to learn, upon receipt, that the expiration date is Novemer 27, 2012.  There is no way that I will use 80 ounces of dressing in less than three months.  I'm angry that Amazon would even stock, and ship, dressing that is so close to being expired.  Angie did refund me.  THANKS ANGIE!!! But, stil, I'm mad that I had to even go through all this for Ranch Dressing.  Disappointed with Amazon, really DISAPPOINTED!!!!"
455102,Guy,1,"It really hard is hard to ruin Mac and Cheese and this brand did just that. The cheese has a runny, strange texture, the taste is bland, and there is a unfavorable aftertaste. I am in disbelief that Chef Boyardee let this product slide. This a product to avoid unless there is no other option. I will not buy it again and recommend others to do the same."
159147,Mama M,1,"This tea was not as expected. Don't know what fillers, if any, but caused me to itch and feel very shaky inside. Would not purchase again."
308756,Joan M. McCullough,1,"This is my all-time favorite spice; we call it ""secret weapon"" around our kitchen.  We use it profusely.  Last time I bought this was in September of 2009, 3 flats for a total of 36 pieces.  I was about to reorder today and notice the price has gone through the roof, i.e., there has been a WHOPPING TWENTY-FOUR PERCENT INCREASE.  So I checked other websites which sell the individual, 3 oz. shakers.  Those prices are unchanged.  Next on the agenda:  check the Euro/dollar exchange rate.  In September of 2009, the simple average for the month was ~145 which is ~ where the Euro/dollar is trading now.  Mentioning the exchange rate, though, is only meant for purposes of example  Because Aromat is manufactured by Unilever which is a huge multinational corporation.  Therefore I am ABSOLUTELY CERTAIN that they have currency hedges in place to avoid wild price fluctuations such as an ungodly 24%. Bottom line:  THERE IS NO REASON FOR THE PRODUCT ITSELF TO HAVE HAD ANY WHERE NEAR THIS PRICE MOVE.  So I am going to chalk this up to increased shipping costs, noting that what used to be ""1 day shipping"" and ""2 day shipping"" are now more like 2 and 3-day, respectively.  On top of that, the #3.99 flat fee for what used to be true 1 day shipping was modified about a year ago to be #3.99 PER ITEM additional shipping even if they ship in the same box.  I also understand that signing up for regular, repeat shipping of an item does not ""LOCK"" the price in for the duration.  Amazing.  These not-so-subtle changes over time tell me that we can expect more of the same across the board.  And as consumers, we have to make hard choices. Because next on the agenda, the States will likely push for taxes.  Add that on top of the wildly escalating cost of shipping and it won't make sense for me to do so much on-line shopping because convenience can only offset so much of the cost. And that threshold is approaching fast. I am now exploring ordering this item in bulk directly from Europe.  It used to be available here in 2.2 lb. packages (1 kilogram)but that was discontinued.  However, they still package it like that all over Europe ... and Asia in the large size.  No more Amazon on this one!  Very, very unfortunate."
324154,"Michael Hallecook ""Anahuac""",1,"I ordered the Fifty50 Crunchy Peanut butter and it arrived promptly--BUT, one jar of the product was completely busted open and coated the other jars, and one jar was crushed but no product was lost.  I left comments on packaging with Amazon, but am unable to get a refund for the broken jar for this product."
170957,Michael Motes,1,"This product is no different than canned salmon, except the filet is whole, so it is a little easier to separate the skin. Not succulent, firm, fully cooked."
23642,bharris,1,"I have no idea how these people sleep at night!! I pay $1.68 for these mints at Wal-Mart. When I saw these on amazon, for $12 somthing I asumed this price was for a case. This seemed like a money saving deal to me even including shipping. I ordered 2 thinking it was 2 cases and the total was $32 and change. They arived a few days later and it was 2 6OZ BAGS!!!!!!!!!!!! For $32  dollars I got 12 oz of mints! How in the hell can they screw people like this and live with themselves? Who would pay over $12 for 6 oz of peppermints??? My dumb ass I guess, but it wont happen again because I won't be buying anything else, ever again from these theives. I suggest you dont either!!!!!!!!!!"
141606,"L. Meza ""fire2ice""",1,"this company apparently does not seal these bags well,therefor the coffee beans lose flavor,also bags are so poorly made that one actually came apart,coffee did not taste like colombian at all,"
455123,"A Customer ""customer12345657""",1,"I eat all kinds of cheap stuff (including other Chef Boyardee products).  I also eat a lot of mac&cheese, from cheapo generic box dinners to higher quality made-from-scratch real stuff.<br /><br />But this is the worst I have ever eaten.  It drips and tastes like the nacho cheese sauce at Target's food counter.  Barf."
23188,Heather LaRee Carter,1,"Unpleasant taste.  I wouldn't say ""bitter"" but just ""off"" for me.  It had an intense-strong taste but lacked depth if that makes any sense.<br />Wish I could be a fan, but it wouldn't be a choice I would make in the future.  On the positive - their label is cute!"
373202,Lily Harper,1,I have tried a lot of prepared just add water kind of foods because I am a very busy college student but this is by far the worst!
438003,Suelynn Teran,1,So I thought that since I had never been ripped off by Amazon I would continue shopping for things on the site. I live in Texas and the only place to get these chips were from out of town or directly from the company EXCEPT they charge an arm and a leg for shipping a box of these chips to ones house. With that said i decided to purchase them from this seller and was VERY unsatisfied... I was truly disappointed in my purchase. Below are the reasons why:<br /><br />1. The bags were ALL deflated<br />2. The apple chips were stale<br />3. Some of the bags were opened<br />4. There weren't exactly 60 as it mentioned<br />5. The expiration date one some of the bags were over due<br /><br />The upside was that shipping costs were low and they delivered in a timely manner. Other than that there really was not much else good to say about this product. At this point I would have gladly spent the 20 dollars on shipping chargers from Seneca than to have bout them from the seller.
